t,x,y,z
0.00,0.0000,-0.6000,0.4700
0.05,0.0038,-0.5981,0.4700
0.10,0.0075,-0.5962,0.4700
0.15,0.0113,-0.5943,0.4700
0.20,0.0150,-0.5925,0.4700
0.25,0.0187,-0.5906,0.4700
0.30,0.0224,-0.5887,0.4700
0.35,0.0261,-0.5868,0.4700
0.40,0.0297,-0.5850,0.4700
0.45,0.0333,-0.5831,0.4700
0.50,0.0368,-0.5813,0.4700
0.55,0.0403,-0.5794,0.4700
0.60,0.0437,-0.5776,0.4700
0.65,0.0471,-0.5757,0.4700
0.70,0.0504,-0.5739,0.4700
0.75,0.0536,-0.5721,0.4700
0.80,0.0567,-0.5703,0.4700
0.85,0.0598,-0.5685,0.4700
0.90,0.0628,-0.5667,0.4700
0.95,0.0657,-0.5649,0.4700
1.00,0.0685,-0.5632,0.4700
1.05,0.0712,-0.5614,0.4700
1.10,0.0738,-0.5597,0.4700
1.15,0.0762,-0.5580,0.4700
1.20,0.0786,-0.5563,0.4700
1.25,0.0809,-0.5546,0.4700
1.30,0.0831,-0.5529,0.4700
1.35,0.0851,-0.5513,0.4700
1.40,0.0870,-0.5496,0.4700
1.45,0.0888,-0.5480,0.4700
1.50,0.0905,-0.5464,0.4700
1.55,0.0920,-0.5448,0.4700
1.60,0.0934,-0.5433,0.4700
1.65,0.0947,-0.5417,0.4700
1.70,0.0959,-0.5402,0.4700
1.75,0.0969,-0.5387,0.4700
1.80,0.0977,-0.5372,0.4700
1.85,0.0985,-0.5358,0.4700
1.90,0.0990,-0.5343,0.4700
1.95,0.0995,-0.5329,0.4700
2.00,0.0998,-0.5315,0.4700
2.05,0.1000,-0.5302,0.4700
2.10,0.1000,-0.5288,0.4700
2.15,0.0999,-0.5275,0.4700
2.20,0.0996,-0.5262,0.4700
2.25,0.0992,-0.5250,0.4700
2.30,0.0987,-0.5238,0.4700
2.35,0.0980,-0.5225,0.4700
2.40,0.0972,-0.5214,0.4700
2.45,0.0962,-0.5202,0.4700
2.50,0.0951,-0.5191,0.4700
2.55,0.0939,-0.5180,0.4700
2.60,0.0925,-0.5169,0.4700
2.65,0.0910,-0.5159,0.4700
2.70,0.0894,-0.5149,0.4700
2.75,0.0876,-0.5139,0.4700
2.80,0.0858,-0.5130,0.4700
2.85,0.0838,-0.5121,0.4700
2.90,0.0816,-0.5112,0.4700
2.95,0.0794,-0.5103,0.4700
3.00,0.0771,-0.5095,0.4700
3.05,0.0746,-0.5087,0.4700
3.10,0.0720,-0.5080,0.4700
3.15,0.0694,-0.5073,0.4700
3.20,0.0666,-0.5066,0.4700
3.25,0.0637,-0.5059,0.4700
3.30,0.0608,-0.5053,0.4700
3.35,0.0578,-0.5047,0.4700
3.40,0.0546,-0.5041,0.4700
3.45,0.0514,-0.5036,0.4700
3.50,0.0482,-0.5031,0.4700
3.55,0.0448,-0.5027,0.4700
3.60,0.0414,-0.5023,0.4700
3.65,0.0380,-0.5019,0.4700
3.70,0.0345,-0.5015,0.4700
3.75,0.0309,-0.5012,0.4700
3.80,0.0273,-0.5010,0.4700
3.85,0.0236,-0.5007,0.4700
3.90,0.0200,-0.5005,0.4700
3.95,0.0163,-0.5003,0.4700
4.00,0.0125,-0.5002,0.4700
4.05,0.0088,-0.5001,0.4700
4.10,0.0050,-0.5000,0.4700
4.15,0.0013,-0.5000,0.4700
4.20,-0.0025,-0.5000,0.4700
4.25,-0.0063,-0.5000,0.4700
4.30,-0.0100,-0.5001,0.4700
4.35,-0.0138,-0.5002,0.4700
4.40,-0.0175,-0.5004,0.4700
4.45,-0.0212,-0.5006,0.4700
4.50,-0.0249,-0.5008,0.4700
4.55,-0.0285,-0.5010,0.4700
4.60,-0.0321,-0.5013,0.4700
4.65,-0.0356,-0.5017,0.4700
4.70,-0.0391,-0.5020,0.4700
4.75,-0.0426,-0.5024,0.4700
4.80,-0.0460,-0.5028,0.4700
4.85,-0.0493,-0.5033,0.4700
4.90,-0.0525,-0.5038,0.4700
4.95,-0.0557,-0.5043,0.4700
5.00,-0.0588,-0.5049,0.4700
5.05,-0.0618,-0.5055,0.4700
5.10,-0.0647,-0.5061,0.4700
5.15,-0.0675,-0.5068,0.4700
5.20,-0.0703,-0.5075,0.4700
5.25,-0.0729,-0.5082,0.4700
5.30,-0.0754,-0.5090,0.4700
5.35,-0.0778,-0.5098,0.4700
5.40,-0.0802,-0.5106,0.4700
5.45,-0.0824,-0.5115,0.4700
5.50,-0.0844,-0.5124,0.4700
5.55,-0.0864,-0.5133,0.4700
5.60,-0.0882,-0.5142,0.4700
5.65,-0.0899,-0.5152,0.4700
5.70,-0.0915,-0.5162,0.4700
5.75,-0.0930,-0.5173,0.4700
5.80,-0.0943,-0.5184,0.4700
5.85,-0.0955,-0.5195,0.4700
5.90,-0.0965,-0.5206,0.4700
5.95,-0.0975,-0.5218,0.4700
6.00,-0.0982,-0.5229,0.4700
6.05,-0.0989,-0.5242,0.4700
6.10,-0.0994,-0.5254,0.4700
6.15,-0.0997,-0.5267,0.4700
6.20,-0.0999,-0.5280,0.4700
6.25,-0.1000,-0.5293,0.4700
6.30,-0.0999,-0.5306,0.4700
6.35,-0.0997,-0.5320,0.4700
6.40,-0.0994,-0.5334,0.4700
6.45,-0.0989,-0.5348,0.4700
6.50,-0.0982,-0.5363,0.4700
6.55,-0.0975,-0.5377,0.4700
6.60,-0.0965,-0.5392,0.4700
6.65,-0.0955,-0.5407,0.4700
6.70,-0.0943,-0.5422,0.4700
6.75,-0.0930,-0.5438,0.4700
6.80,-0.0915,-0.5454,0.4700
6.85,-0.0899,-0.5469,0.4700
6.90,-0.0882,-0.5486,0.4700
6.95,-0.0864,-0.5502,0.4700
7.00,-0.0844,-0.5518,0.4700
7.05,-0.0824,-0.5535,0.4700
7.10,-0.0802,-0.5552,0.4700
7.15,-0.0778,-0.5569,0.4700
7.20,-0.0754,-0.5586,0.4700
7.25,-0.0729,-0.5603,0.4700
7.30,-0.0703,-0.5620,0.4700
7.35,-0.0675,-0.5638,0.4700
7.40,-0.0647,-0.5655,0.4700
7.45,-0.0618,-0.5673,0.4700
7.50,-0.0588,-0.5691,0.4700
7.55,-0.0557,-0.5709,0.4700
7.60,-0.0525,-0.5727,0.4700
7.65,-0.0493,-0.5745,0.4700
7.70,-0.0460,-0.5764,0.4700
7.75,-0.0426,-0.5782,0.4700
7.80,-0.0391,-0.5800,0.4700
7.85,-0.0356,-0.5819,0.4700
7.90,-0.0321,-0.5837,0.4700
7.95,-0.0285,-0.5856,0.4700
8.00,-0.0249,-0.5875,0.4700
8.05,-0.0212,-0.5893,0.4700
8.10,-0.0175,-0.5912,0.4700
8.15,-0.0138,-0.5931,0.4700
8.20,-0.0100,-0.5950,0.4700
8.25,-0.0063,-0.5969,0.4700
8.30,-0.0025,-0.5987,0.4700
8.35,0.0013,-0.6006,0.4700
8.40,0.0050,-0.6025,0.4700
8.45,0.0088,-0.6044,0.4700
8.50,0.0125,-0.6063,0.4700
8.55,0.0163,-0.6082,0.4700
8.60,0.0200,-0.6100,0.4700
8.65,0.0236,-0.6119,0.4700
8.70,0.0273,-0.6138,0.4700
8.75,0.0309,-0.6156,0.4700
8.80,0.0345,-0.6175,0.4700
8.85,0.0380,-0.6194,0.4700
8.90,0.0414,-0.6212,0.4700
8.95,0.0448,-0.6230,0.4700
9.00,0.0482,-0.6249,0.4700
9.05,0.0514,-0.6267,0.4700
9.10,0.0546,-0.6285,0.4700
9.15,0.0578,-0.6303,0.4700
9.20,0.0608,-0.6321,0.4700
9.25,0.0637,-0.6339,0.4700
9.30,0.0666,-0.6356,0.4700
9.35,0.0694,-0.6374,0.4700
9.40,0.0720,-0.6391,0.4700
9.45,0.0746,-0.6409,0.4700
9.50,0.0771,-0.6426,0.4700
9.55,0.0794,-0.6443,0.4700
9.60,0.0816,-0.6460,0.4700
9.65,0.0838,-0.6476,0.4700
9.70,0.0858,-0.6493,0.4700
9.75,0.0876,-0.6509,0.4700
9.80,0.0894,-0.6525,0.4700
9.85,0.0910,-0.6541,0.4700
9.90,0.0925,-0.6557,0.4700
9.95,0.0939,-0.6572,0.4700
10.00,0.0951,-0.6588,0.4700
10.05,0.0962,-0.6603,0.4700
10.10,0.0972,-0.6618,0.4700
10.15,0.0980,-0.6633,0.4700
10.20,0.0987,-0.6647,0.4700
10.25,0.0992,-0.6661,0.4700
10.30,0.0996,-0.6675,0.4700
10.35,0.0999,-0.6689,0.4700
10.40,0.1000,-0.6703,0.4700
10.45,0.1000,-0.6716,0.4700
10.50,0.0998,-0.6729,0.4700
10.55,0.0995,-0.6742,0.4700
10.60,0.0990,-0.6754,0.4700
10.65,0.0985,-0.6766,0.4700
10.70,0.0977,-0.6778,0.4700
10.75,0.0969,-0.6790,0.4700
10.80,0.0959,-0.6802,0.4700
10.85,0.0947,-0.6813,0.4700
10.90,0.0934,-0.6824,0.4700
10.95,0.0920,-0.6834,0.4700
11.00,0.0905,-0.6844,0.4700
11.05,0.0888,-0.6854,0.4700
11.10,0.0870,-0.6864,0.4700
11.15,0.0851,-0.6873,0.4700
11.20,0.0831,-0.6882,0.4700
11.25,0.0809,-0.6891,0.4700
11.30,0.0786,-0.6899,0.4700
11.35,0.0762,-0.6907,0.4700
11.40,0.0738,-0.6915,0.4700
11.45,0.0712,-0.6923,0.4700
11.50,0.0685,-0.6930,0.4700
11.55,0.0657,-0.6937,0.4700
11.60,0.0628,-0.6943,0.4700
11.65,0.0598,-0.6949,0.4700
11.70,0.0567,-0.6955,0.4700
11.75,0.0536,-0.6960,0.4700
11.80,0.0504,-0.6965,0.4700
11.85,0.0471,-0.6970,0.4700
11.90,0.0437,-0.6975,0.4700
11.95,0.0403,-0.6979,0.4700
12.00,0.0368,-0.6982,0.4700
12.05,0.0333,-0.6986,0.4700
12.10,0.0297,-0.6989,0.4700
12.15,0.0261,-0.6991,0.4700
12.20,0.0224,-0.6994,0.4700
12.25,0.0187,-0.6996,0.4700
12.30,0.0150,-0.6997,0.4700
12.35,0.0113,-0.6998,0.4700
12.40,0.0075,-0.6999,0.4700
12.45,0.0038,-0.7000,0.4700
12.50,0.0000,-0.7000,0.4700
12.55,-0.0038,-0.7000,0.4700
12.60,-0.0075,-0.6999,0.4700
12.65,-0.0113,-0.6998,0.4700
12.70,-0.0150,-0.6997,0.4700
12.75,-0.0187,-0.6996,0.4700
12.80,-0.0224,-0.6994,0.4700
12.85,-0.0261,-0.6991,0.4700
12.90,-0.0297,-0.6989,0.4700
12.95,-0.0333,-0.6986,0.4700
13.00,-0.0368,-0.6982,0.4700
13.05,-0.0403,-0.6979,0.4700
13.10,-0.0437,-0.6975,0.4700
13.15,-0.0471,-0.6970,0.4700
13.20,-0.0504,-0.6965,0.4700
13.25,-0.0536,-0.6960,0.4700
13.30,-0.0567,-0.6955,0.4700
13.35,-0.0598,-0.6949,0.4700
13.40,-0.0628,-0.6943,0.4700
13.45,-0.0657,-0.6937,0.4700
13.50,-0.0685,-0.6930,0.4700
13.55,-0.0712,-0.6923,0.4700
13.60,-0.0738,-0.6915,0.4700
13.65,-0.0762,-0.6907,0.4700
13.70,-0.0786,-0.6899,0.4700
13.75,-0.0809,-0.6891,0.4700
13.80,-0.0831,-0.6882,0.4700
13.85,-0.0851,-0.6873,0.4700
13.90,-0.0870,-0.6864,0.4700
13.95,-0.0888,-0.6854,0.4700
14.00,-0.0905,-0.6844,0.4700
14.05,-0.0920,-0.6834,0.4700
14.10,-0.0934,-0.6824,0.4700
14.15,-0.0947,-0.6813,0.4700
14.20,-0.0959,-0.6802,0.4700
14.25,-0.0969,-0.6790,0.4700
14.30,-0.0977,-0.6778,0.4700
14.35,-0.0985,-0.6766,0.4700
14.40,-0.0990,-0.6754,0.4700
14.45,-0.0995,-0.6742,0.4700
14.50,-0.0998,-0.6729,0.4700
14.55,-0.1000,-0.6716,0.4700
14.60,-0.1000,-0.6703,0.4700
14.65,-0.0999,-0.6689,0.4700
14.70,-0.0996,-0.6675,0.4700
14.75,-0.0992,-0.6661,0.4700
14.80,-0.0987,-0.6647,0.4700
14.85,-0.0980,-0.6633,0.4700
14.90,-0.0972,-0.6618,0.4700
14.95,-0.0962,-0.6603,0.4700
15.00,-0.0951,-0.6588,0.4700
15.05,-0.0939,-0.6572,0.4700
15.10,-0.0925,-0.6557,0.4700
15.15,-0.0910,-0.6541,0.4700
15.20,-0.0894,-0.6525,0.4700
15.25,-0.0876,-0.6509,0.4700
15.30,-0.0858,-0.6493,0.4700
15.35,-0.0838,-0.6476,0.4700
15.40,-0.0816,-0.6460,0.4700
15.45,-0.0794,-0.6443,0.4700
15.50,-0.0771,-0.6426,0.4700
15.55,-0.0746,-0.6409,0.4700
15.60,-0.0720,-0.6391,0.4700
15.65,-0.0694,-0.6374,0.4700
15.70,-0.0666,-0.6356,0.4700
15.75,-0.0637,-0.6339,0.4700
15.80,-0.0608,-0.6321,0.4700
15.85,-0.0578,-0.6303,0.4700
15.90,-0.0546,-0.6285,0.4700
15.95,-0.0514,-0.6267,0.4700
16.00,-0.0482,-0.6249,0.4700
16.05,-0.0448,-0.6230,0.4700
16.10,-0.0414,-0.6212,0.4700
16.15,-0.0380,-0.6194,0.4700
16.20,-0.0345,-0.6175,0.4700
